id,proposal_id,create_date,client_rating,freelancer_rating,client_rating_description,freelancer_rating_description,status
1,1502,2020-05-23,5.0,3.4,Proin interdum mauris non ligula pellentesque ultrices.,Nullam varius.,complete
2,2195,2020-03-29,2.6,1.5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Donec ut dolor.,complete
3,2350,2018-03-25,,,,,ongoing
4,235,2018-02-15,1.9,4.9,Nullam varius.,Proin at turpis a pede posuere nonummy.,cancelled
5,2448,2019-06-23,2.7,2.9,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",In hac habitasse platea dictumst.,complete
6,2483,2019-04-01,,,,,dispute
7,1722,2018-03-14,,,,,dispute
8,2251,2018-05-29,2.6,4.9,Duis bibendum.,Proin eu mi.,complete
9,1350,2020-03-15,,,,,ongoing
10,736,2018-12-17,4.9,3.4,Donec quis orci eget orci vehicula condimentum.,Etiam faucibus cursus urna.,complete
11,1575,2019-09-13,,,,,ongoing
12,1717,2020-02-13,,,,,ongoing
13,2580,2018-10-24,1.6,4.0,Nunc purus.,Donec quis orci eget orci vehicula condimentum.,cancelled
14,2499,2018-08-17,,,,,dispute
15,1911,2020-04-22,2.9,1.5,In hac habitasse platea dictumst.,Suspendisse potenti.,complete
16,1583,2020-01-25,,,,,dispute
17,102,2019-10-12,,,,,ongoing
18,2107,2020-06-23,2.8,1.7,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",complete
19,965,2019-12-31,,,,,ongoing
20,929,2020-06-22,3.2,4.5,Phasellus id sapien in sapien iaculis congue.,Cras in purus eu magna vulputate luctus.,complete
21,342,2018-05-31,2.1,3.5,Aliquam non mauris.,Mauris lacinia sapien quis libero.,cancelled
22,373,2020-06-26,,,,,dispute
23,533,2020-07-21,4.9,3.8,Nulla tellus.,Donec ut dolor.,cancelled
24,862,2019-09-30,,,,,dispute
25,1643,2019-08-04,1.7,4.9,Aliquam non mauris.,Maecenas tincidunt lacus at velit.,complete
26,2292,2018-04-25,3.4,4.1,In hac habitasse platea dictumst.,Mauris ullamcorper purus sit amet nulla.,cancelled
27,1039,2020-06-03,,,,,ongoing
28,1617,2018-02-27,1.0,3.5,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Aliquam erat volutpat.,cancelled
29,1732,2020-06-04,4.4,2.2,Vestibulum sed magna at nunc commodo placerat.,Integer a nibh.,complete
30,892,2019-10-13,4.0,2.5,Quisque porta volutpat erat.,Duis consequat dui nec nisi volutpat eleifend.,cancelled
31,1784,2020-01-14,1.1,3.3,In quis justo.,Curabitur at ipsum ac tellus semper interdum.,complete
32,131,2018-12-15,,,,,dispute
33,241,2020-04-26,1.3,4.8,Nulla suscipit ligula in lacus.,Nunc purus.,complete
34,1711,2019-09-15,,,,,ongoing
35,1098,2018-12-08,4.6,4.8,Praesent lectus.,Donec posuere metus vitae ipsum.,complete
36,867,2020-02-19,,,,,dispute
37,76,2018-12-16,3.5,2.9,Donec ut mauris eget massa tempor convallis.,Donec vitae nisi.,complete
38,377,2018-04-14,3.1,2.0,Vivamus vestibulum sagittis sapien.,Aliquam erat volutpat.,complete
39,1155,2019-09-17,1.2,4.3,Nulla tellus.,In eleifend quam a odio.,cancelled
40,653,2018-01-18,2.0,1.5,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Sed vel enim sit amet nunc viverra dapibus.,complete
41,2532,2020-01-24,4.5,3.9,Duis mattis egestas metus.,Sed sagittis.,cancelled
42,1978,2020-02-25,2.4,2.4,Morbi a ipsum.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",cancelled
43,1048,2019-12-22,,,,,dispute
44,2243,2020-02-16,2.5,3.9,Aenean lectus.,Sed sagittis.,cancelled
45,1959,2020-06-24,,,,,dispute
46,732,2019-06-18,3.8,5.0,Morbi non quam nec dui luctus rutrum.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",complete
47,1548,2020-03-27,3.5,1.2,Morbi vel lectus in quam fringilla rhoncus.,Quisque ut erat.,cancelled
